product_id,product_name,category,subcategory,base_price,cost_price,brand
1,ByteWave Tablets OH-1,Electronics,Tablets,26195.61,20512.38,ByteWave
2,PixelPro Cameras BV-2,Electronics,Cameras,22875.34,20388.5,PixelPro
3,ClearView Cameras RP-3,Electronics,Cameras,21286.88,17079.88,ClearView
4,PixelPro Cameras OI-4,Electronics,Cameras,91361.85,69363.48,PixelPro
5,ClearView Smartphones VG-5,Electronics,Smartphones,26191.95,22377.45,ClearView
6,ClearView Cameras RV-6,Electronics,Cameras,6790.55,5576.97,ClearView
7,ClearView Smartphones IF-7,Electronics,Smartphones,121824.42,105388.39,ClearView
8,ClearView Headphones LB-8,Electronics,Headphones,66222.37,53715.47,ClearView
9,ByteWave Headphones CB-9,Electronics,Headphones,77512.93,67778.96,ByteWave
10,ClearView Smartphones FN-10,Electronics,Smartphones,118006.41,96235.03,ClearView
11,TechNova Smartphones OG-11,Electronics,Smartphones,5931.92,5133.28,TechNova
12,ClearView Tablets MB-12,Electronics,Tablets,18766.63,15496.05,ClearView
13,TechNova Headphones JM-13,Electronics,Headphones,35312.38,28271.86,TechNova
14,PixelPro Smartphones TP-14,Electronics,Smartphones,72691.74,65081.13,PixelPro
15,PixelPro Smartphones SI-15,Electronics,Smartphones,58420.25,49115.51,PixelPro
16,ClearView Tablets AO-16,Electronics,Tablets,9472.5,8063.0,ClearView
17,PixelPro Cameras CL-17,Electronics,Cameras,69302.75,56272.95,PixelPro
18,ClearView Laptops RZ-18,Electronics,Laptops,77451.14,66499.56,ClearView
19,ByteWave Cameras AW-19,Electronics,Cameras,13020.63,9791.08,ByteWave
20,ClearView Laptops ZK-20,Electronics,Laptops,39512.07,35477.41,ClearView
21,TechNova Headphones SB-21,Electronics,Headphones,90072.38,70389.19,TechNova
22,ByteWave Headphones VR-22,Electronics,Headphones,116082.41,93137.38,ByteWave
23,TechNova Tablets JN-23,Electronics,Tablets,79419.07,67535.22,TechNova
24,VoltEdge Cameras WV-24,Electronics,Cameras,75547.03,64879.16,VoltEdge
25,TechNova Headphones GF-25,Electronics,Headphones,50334.15,37964.19,TechNova
26,TechNova Headphones YG-26,Electronics,Headphones,91329.27,78963.49,TechNova
27,TechNova Headphones WW-27,Electronics,Headphones,89990.21,79494.33,TechNova
28,ByteWave Tablets MQ-28,Electronics,Tablets,28408.02,21750.19,ByteWave
29,ClearView Laptops ZC-29,Electronics,Laptops,72156.34,57412.82,ClearView
30,ByteWave Cameras UD-30,Electronics,Cameras,69320.77,60277.24,ByteWave
31,VoltEdge Cameras IH-31,Electronics,Cameras,88068.98,67630.8,VoltEdge
32,ByteWave Smartphones YF-32,Electronics,Smartphones,39771.68,35165.16,ByteWave
33,ClearView Tablets JS-33,Electronics,Tablets,30431.29,25486.92,ClearView
34,PixelPro Headphones ON-34,Electronics,Headphones,18772.64,15892.08,PixelPro
35,TechNova Laptops XK-35,Electronics,Laptops,31580.15,26398.92,TechNova
36,ByteWave Tablets MT-36,Electronics,Tablets,108148.4,97220.78,ByteWave
37,TechNova Headphones EC-37,Electronics,Headphones,62664.43,49889.32,TechNova
38,ClearView Smartphones QO-38,Electronics,Smartphones,33539.19,29338.62,ClearView
39,ClearView Laptops XS-39,Electronics,Laptops,47999.18,36202.55,ClearView
40,ClearView Tablets FO-40,Electronics,Tablets,34465.66,28448.39,ClearView
41,ByteWave Laptops GY-41,Electronics,Laptops,38465.7,34406.3,ByteWave
42,PixelPro Laptops RD-42,Electronics,Laptops,64824.16,57841.18,PixelPro
43,TechNova Cameras OX-43,Electronics,Cameras,80756.51,64435.15,TechNova
44,ClearView Cameras KX-44,Electronics,Cameras,58181.76,47538.34,ClearView
45,VoltEdge Tablets WN-45,Electronics,Tablets,48728.19,42085.37,VoltEdge
46,ClearView Cameras QR-46,Electronics,Cameras,122994.2,103336.82,ClearView
47,TechNova Laptops SR-47,Electronics,Laptops,42814.39,37335.1,TechNova
48,VoltEdge Cameras PE-48,Electronics,Cameras,75498.05,60275.03,VoltEdge
49,PixelPro Headphones MO-49,Electronics,Headphones,65963.26,57125.87,PixelPro
50,TechNova Tablets KI-50,Electronics,Tablets,87603.47,73761.22,TechNova
51,TechNova Smartphones UP-51,Electronics,Smartphones,85758.5,67725.0,TechNova
52,PixelPro Smartphones KD-52,Electronics,Smartphones,35210.94,28204.05,PixelPro
53,TechNova Smartphones YR-53,Electronics,Smartphones,66512.94,57259.37,TechNova
54,ClearView Laptops OS-54,Electronics,Laptops,71553.51,54924.8,ClearView
55,TechNova Laptops JO-55,Electronics,Laptops,46254.36,36592.13,TechNova
56,ClearView Headphones RU-56,Electronics,Headphones,111337.46,87179.31,ClearView
57,VoltEdge Tablets XX-57,Electronics,Tablets,117211.83,91682.96,VoltEdge
58,VoltEdge Tablets DO-58,Electronics,Tablets,49046.21,37225.09,VoltEdge
59,ByteWave Laptops CZ-59,Electronics,Laptops,38354.44,32762.19,ByteWave
60,VoltEdge Smartphones UZ-60,Electronics,Smartphones,82887.31,71810.22,VoltEdge
61,ClearView Laptops RE-61,Electronics,Laptops,32707.14,27839.99,ClearView
62,VoltEdge Tablets NK-62,Electronics,Tablets,83571.16,68089.91,VoltEdge
63,VoltEdge Tablets TU-63,Electronics,Tablets,48493.61,41715.16,VoltEdge
64,VoltEdge Cameras NP-64,Electronics,Cameras,111937.63,90146.64,VoltEdge
65,ByteWave Smartphones FZ-65,Electronics,Smartphones,64819.09,52728.02,ByteWave
66,ByteWave Laptops PD-66,Electronics,Laptops,31852.42,26282.1,ByteWave
67,VoltEdge Tablets JQ-67,Electronics,Tablets,96995.04,86661.13,VoltEdge
68,ClearView Tablets IP-68,Electronics,Tablets,60863.29,52224.72,ClearView
69,ClearView Headphones VJ-69,Electronics,Headphones,5870.25,4465.81,ClearView
70,ByteWave Laptops IQ-70,Electronics,Laptops,73247.39,55151.64,ByteWave
71,ByteWave Tablets VL-71,Electronics,Tablets,50596.83,39077.42,ByteWave
72,PixelPro Headphones BL-72,Electronics,Headphones,71372.95,54213.24,PixelPro
73,VoltEdge Smartphones ZX-73,Electronics,Smartphones,72977.4,64615.91,VoltEdge
74,VoltEdge Smartphones OI-74,Electronics,Smartphones,39730.16,33834.89,VoltEdge
75,TechNova Laptops GF-75,Electronics,Laptops,89000.57,75301.28,TechNova
76,PixelPro Cameras FW-76,Electronics,Cameras,101932.7,79352.87,PixelPro
77,ByteWave Laptops DH-77,Electronics,Laptops,13872.9,12474.82,ByteWave
78,ByteWave Tablets JO-78,Electronics,Tablets,27507.15,24463.73,ByteWave
79,VoltEdge Tablets KY-79,Electronics,Tablets,44897.41,37878.26,VoltEdge
80,VoltEdge Smartphones RB-80,Electronics,Smartphones,60337.36,49392.36,VoltEdge
81,PixelPro Cameras ME-81,Electronics,Cameras,108108.96,93239.9,PixelPro
82,VoltEdge Smartphones YY-82,Electronics,Smartphones,19374.32,15919.17,VoltEdge
83,ClearView Cameras MD-83,Electronics,Cameras,30114.34,24289.22,ClearView
84,ByteWave Tablets HQ-84,Electronics,Tablets,27519.98,23069.91,ByteWave
85,ClearView Headphones JA-85,Electronics,Headphones,20062.2,15138.32,ClearView
86,VoltEdge Smartphones RU-86,Electronics,Smartphones,100217.53,86124.46,VoltEdge
87,PixelPro Tablets HR-87,Electronics,Tablets,13493.22,12092.59,PixelPro
88,TechNova Cameras IW-88,Electronics,Cameras,87308.49,77815.52,TechNova
89,TechNova Smartphones RX-89,Electronics,Smartphones,57524.62,49703.11,TechNova
90,ByteWave Laptops PV-90,Electronics,Laptops,37872.0,28660.4,ByteWave
91,ByteWave Cameras HS-91,Electronics,Cameras,54771.61,47259.16,ByteWave
92,ByteWave Headphones BK-92,Electronics,Headphones,18539.92,15735.16,ByteWave
93,ByteWave Tablets DA-93,Electronics,Tablets,15393.0,13134.66,ByteWave
94,ByteWave Tablets UU-94,Electronics,Tablets,61375.03,54336.84,ByteWave
95,ClearView Cameras QG-95,Electronics,Cameras,24957.43,20837.51,ClearView
96,PixelPro Smartphones WL-96,Electronics,Smartphones,118846.63,91155.12,PixelPro
97,PixelPro Tablets GG-97,Electronics,Tablets,79729.05,65738.96,PixelPro
98,ByteWave Laptops OT-98,Electronics,Laptops,86759.62,70069.01,ByteWave
99,TechNova Smartphones OG-99,Electronics,Smartphones,108931.07,87639.34,TechNova
100,ClearView Tablets MM-100,Electronics,Tablets,50968.56,40953.58,ClearView
101,ByteWave Laptops JX-101,Electronics,Laptops,70019.63,53129.51,ByteWave
102,TechNova Headphones WK-102,Electronics,Headphones,120304.06,91936.05,TechNova
103,ByteWave Tablets IX-103,Electronics,Tablets,12392.72,10966.11,ByteWave
104,ByteWave Smartphones HA-104,Electronics,Smartphones,15427.6,12304.27,ByteWave
105,PixelPro Laptops MU-105,Electronics,Laptops,42596.05,32938.19,PixelPro
106,PixelPro Smartphones FB-106,Electronics,Smartphones,35544.04,29344.96,PixelPro
107,ByteWave Smartphones HX-107,Electronics,Smartphones,46148.73,35050.09,ByteWave
108,TechNova Tablets ZT-108,Electronics,Tablets,101221.19,86816.89,TechNova
109,ByteWave Smartphones PD-109,Electronics,Smartphones,94824.38,73865.8,ByteWave
110,VoltEdge Laptops PK-110,Electronics,Laptops,53926.74,45524.81,VoltEdge
111,ClearView Cameras FF-111,Electronics,Cameras,55908.28,44020.47,ClearView
112,VoltEdge Laptops UF-112,Electronics,Laptops,16477.99,12599.35,VoltEdge
113,TechNova Tablets EW-113,Electronics,Tablets,42726.0,32714.08,TechNova
114,ClearView Laptops IX-114,Electronics,Laptops,5311.36,4058.9,ClearView
115,TechNova Tablets II-115,Electronics,Tablets,42636.95,32297.09,TechNova
116,VoltEdge Tablets QE-116,Electronics,Tablets,63656.1,56495.26,VoltEdge
117,VoltEdge Cameras JK-117,Electronics,Cameras,76895.35,62819.24,VoltEdge
118,ClearView Cameras QH-118,Electronics,Cameras,118489.54,92754.27,ClearView
119,ByteWave Cameras MB-119,Electronics,Cameras,63824.86,56891.32,ByteWave
120,ByteWave Smartphones NI-120,Electronics,Smartphones,93181.3,76232.8,ByteWave
121,PixelPro Headphones WU-121,Electronics,Headphones,121206.89,96577.1,PixelPro
122,ClearView Smartphones SM-122,Electronics,Smartphones,108891.11,84306.53,ClearView
123,PixelPro Cameras TT-123,Electronics,Cameras,51994.84,39839.25,PixelPro
124,ByteWave Smartphones ZQ-124,Electronics,Smartphones,66112.47,57188.33,ByteWave
125,TechNova Cameras PX-125,Electronics,Cameras,110523.56,95547.31,TechNova
126,ByteWave Laptops CH-126,Electronics,Laptops,95158.76,80272.22,ByteWave
127,ByteWave Headphones CH-127,Electronics,Headphones,49736.5,39502.59,ByteWave
128,PixelPro Smartphones PO-128,Electronics,Smartphones,43960.56,36699.69,PixelPro
129,ByteWave Cameras EV-129,Electronics,Cameras,53029.45,43180.77,ByteWave
130,ClearView Tablets BL-130,Electronics,Tablets,96830.58,75196.83,ClearView
131,VoltEdge Laptops JO-131,Electronics,Laptops,74587.62,56363.93,VoltEdge
132,TechNova Tablets LO-132,Electronics,Tablets,14029.85,11514.92,TechNova
133,PixelPro Cameras AE-133,Electronics,Cameras,5470.69,4127.74,PixelPro
134,ByteWave Cameras TO-134,Electronics,Cameras,9251.49,7043.19,ByteWave
135,ByteWave Tablets DO-135,Electronics,Tablets,34611.81,27540.21,ByteWave
136,PixelPro Laptops EC-136,Electronics,Laptops,24112.07,20916.71,PixelPro
137,ByteWave Laptops VE-137,Electronics,Laptops,88327.93,74404.77,ByteWave
138,VoltEdge Laptops GP-138,Electronics,Laptops,37996.55,28780.04,VoltEdge
139,ClearView Tablets RQ-139,Electronics,Tablets,44614.87,39017.85,ClearView
140,PixelPro Tablets FN-140,Electronics,Tablets,50980.47,44128.23,PixelPro
141,ClearView Tablets II-141,Electronics,Tablets,47601.76,40985.47,ClearView
142,TechNova Headphones UK-142,Electronics,Headphones,37851.38,31731.53,TechNova
143,ClearView Cameras KE-143,Electronics,Cameras,36785.87,32372.38,ClearView
144,ByteWave Headphones PY-144,Electronics,Headphones,117804.35,98661.63,ByteWave
145,TechNova Cameras EZ-145,Electronics,Cameras,54607.41,41506.59,TechNova
146,VoltEdge Smartphones AM-146,Electronics,Smartphones,9471.46,8486.85,VoltEdge
147,TechNova Laptops GG-147,Electronics,Laptops,62124.78,46730.7,TechNova
148,ByteWave Headphones QB-148,Electronics,Headphones,94698.97,79646.72,ByteWave
149,VoltEdge Headphones WB-149,Electronics,Headphones,72858.86,64878.86,VoltEdge
150,VoltEdge Laptops AD-150,Electronics,Laptops,20196.11,18135.08,VoltEdge
